periode_data,periode_pemantauan,bulan_sampling,titik_sampel,nama_sungai,alamat,latitude,longitude,jenis_parameter,parameter,baku_mutu,hasil_pengukuran
2024,"Periode 4",10,"KLT 2","Kalibaru Timur","Jl.  Raya Bogor  Jembatan Pasar Obor",-6.308332,106.863681,Kimia,BOD,3,6.9
2024,"Periode 4",10,"KLT 2","Kalibaru Timur","Jl.  Raya Bogor  Jembatan Pasar Obor",-6.308332,106.863681,Kimia,COD,25,25.6
2024,"Periode 4",10,"KLT 2","Kalibaru Timur","Jl.  Raya Bogor  Jembatan Pasar Obor",-6.308332,106.863681,Kimia,DO,4,2.505
2024,"Periode 4",10,"KLT 2","Kalibaru Timur","Jl.  Raya Bogor  Jembatan Pasar Obor",-6.308332,106.863681,Kimia,Nitrat,10,3.6
2024,"Periode 4",10,"KLT 2","Kalibaru Timur","Jl.  Raya Bogor  Jembatan Pasar Obor",-6.308332,106.863681,Kimia,Nitrit,0.06,0.08
2024,"Periode 4",10,"KLT 2","Kalibaru Timur","Jl.  Raya Bogor  Jembatan Pasar Obor",-6.308332,106.863681,Kimia,"Total P",0.2,2.18
2024,"Periode 4",10,"KLT 2","Kalibaru Timur","Jl.  Raya Bogor  Jembatan Pasar Obor",-6.308332,106.863681,Kimia,F,1.5,0.13
2024,"Periode 4",10,"KLT 2","Kalibaru Timur","Jl.  Raya Bogor  Jembatan Pasar Obor",-6.308332,106.863681,Kimia,H2S,0.002,0.009
2024,"Periode 4",10,"KLT 2","Kalibaru Timur","Jl.  Raya Bogor  Jembatan Pasar Obor",-6.308332,106.863681,Kimia,"Klorin Bebas n  In Situ",0.03,0.01
2024,"Periode 1",2,"GRL 5",Grogol,"RS Jiwa Grogol Jelambar",-6.161783569,106.7901797,Kimia,Hg,0.002,0.0001
2024,"Periode 4",10,"KLT 2","Kalibaru Timur","Jl.  Raya Bogor  Jembatan Pasar Obor",-6.308332,106.863681,Kimia,Cd,0.01,0.004
2024,"Periode 4",10,"KLT 2","Kalibaru Timur","Jl.  Raya Bogor  Jembatan Pasar Obor",-6.308332,106.863681,Kimia,Zn,0.05,0.009
