periode_data,periode_pemantauan,bulan_sampling,titik_sampel,nama_sungai,alamat,latitude,longitude,jenis_parameter,parameter,baku_mutu,hasil_pengukuran
2024,"Periode 4",10,"KLT 2","Kalibaru Timur","Jl.  Raya Bogor  Jembatan Pasar Obor",-6.308332,106.863681,Biologi,"Fecal Coliform",1000,140000
2024,"Periode 4",10,"KLT 2","Kalibaru Timur","Jl.  Raya Bogor  Jembatan Pasar Obor",-6.308332,106.863681,Fisika,Warna,50,21
2024,"Periode 4",10,"KLT 2","Kalibaru Timur","Jl.  Raya Bogor  Jembatan Pasar Obor",-6.308332,106.863681,Kimia,Sulfat,300,8.95
2024,"Periode 4",10,"KLT 2","Kalibaru Timur","Jl.  Raya Bogor  Jembatan Pasar Obor",-6.308332,106.863681,Kimia,Klorida,300,23.68
2024,"Periode 4",10,"KLT 2","Kalibaru Timur","Jl.  Raya Bogor  Jembatan Pasar Obor",-6.308332,106.863681,Kimia,Amoniak,0.2,3.8
2024,"Periode 4",10,"KLT 2","Kalibaru Timur","Jl.  Raya Bogor  Jembatan Pasar Obor",-6.308332,106.863681,Kimia,"Total N",15,2.47
2024,"Periode 4",10,"KLT 2","Kalibaru Timur","Jl.  Raya Bogor  Jembatan Pasar Obor",-6.308332,106.863681,Kimia,Ni,0.05,0.02
2024,"Periode 4",10,"KLT 2","Kalibaru Timur","Jl.  Raya Bogor  Jembatan Pasar Obor",-6.308332,106.863681,Kimia,Sianida,0.02,0.001
2024,"Periode 4",10,"KLT 3","Kalibaru Timur","Jl.  Raya Bogor  Komseko",-6.286182,106.870626,Fisika,TDS,1000,175.2
2024,"Periode 4",10,"KLT 3","Kalibaru Timur","Jl.  Raya Bogor  Komseko",-6.286182,106.870626,Fisika,TSS,50,13
2024,"Periode 4",10,"KLT 3","Kalibaru Timur","Jl.  Raya Bogor  Komseko",-6.286182,106.870626,Kimia,pH,6.9,7.11
2024,"Periode 4",10,"KLT 3","Kalibaru Timur","Jl.  Raya Bogor  Komseko",-6.286182,106.870626,Kimia,BOD,3,5.41
2024,"Periode 4",10,"KLT 3","Kalibaru Timur","Jl.  Raya Bogor  Komseko",-6.286182,106.870626,Kimia,COD,25,24.6
2024,"Periode 4",10,"KLT 3","Kalibaru Timur","Jl.  Raya Bogor  Komseko",-6.286182,106.870626,Kimia,DO,4,2.46
2024,"Periode 4",10,"KLT 3","Kalibaru Timur","Jl.  Raya Bogor  Komseko",-6.286182,106.870626,Kimia,Nitrat,10,1.2
2024,"Periode 4",10,"KLT 3","Kalibaru Timur","Jl.  Raya Bogor  Komseko",-6.286182,106.870626,Kimia,Nitrit,0.06,0.04
2024,"Periode 4",10,"KLT 3","Kalibaru Timur","Jl.  Raya Bogor  Komseko",-6.286182,106.870626,Kimia,"Total P",0.2,2.21
2024,"Periode 4",10,"KLT 3","Kalibaru Timur","Jl.  Raya Bogor  Komseko",-6.286182,106.870626,Kimia,F,1.5,0.11
2024,"Periode 4",10,"KLT 3","Kalibaru Timur","Jl.  Raya Bogor  Komseko",-6.286182,106.870626,Kimia,H2S,0.002,0.02
